[26-Nov-2010 13:39:55] PHP Fatal error:  Class 'Zend_Cache' not found in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 72
[26-Nov-2010 13:43:41] PHP Fatal error:  Class 'Zend_Cache' not found in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 74
[26-Nov-2010 13:44:14] PHP Fatal error:  Class 'Zend_Cache' not found in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 75
[26-Nov-2010 13:44:15] PHP Fatal error:  Class 'Zend_Cache' not found in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 75
[26-Nov-2010 13:44:17] PHP Fatal error:  Class 'Zend_Cache' not found in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 75
[26-Nov-2010 13:44:18] PHP Fatal error:  Class 'Zend_Cache' not found in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 75
[26-Nov-2010 13:44:29] PHP Fatal error:  Class 'Zend_Cache' not found in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 75
[26-Nov-2010 13:44:32] PHP Fatal error:  Class 'Zend_Cache' not found in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 75
[26-Nov-2010 13:44:40] PHP Fatal error:  Class 'Zend_Cache' not found in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 75
[26-Nov-2010 13:45:23] PHP Fatal error:  Class 'Zend_Cache' not found in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 75
[26-Nov-2010 13:45:27] PHP Fatal error:  Class 'Zend_Cache' not found in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 75
[26-Nov-2010 13:45:37] PHP Fatal error:  Class 'Zend_Cache' not found in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 74
[26-Nov-2010 13:46:28] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'America/Los_Angeles' for 'PST/-8.0/no DST' instead in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 84
[26-Nov-2010 13:46:29] PHP Warning:  strtotime(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'America/Los_Angeles' for 'PST/-8.0/no DST' instead in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 138
[26-Nov-2010 13:46:29] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'America/Los_Angeles' for 'PST/-8.0/no DST' instead in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 138
[26-Nov-2010 13:46:29] PHP Warning:  strtotime(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'America/Los_Angeles' for 'PST/-8.0/no DST' instead in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 138
[26-Nov-2010 13:46:29] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'America/Los_Angeles' for 'PST/-8.0/no DST' instead in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 138
[26-Nov-2010 13:46:29] PHP Deprecated:  Function split() is deprecated in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 162
[26-Nov-2010 14:00:23] PHP Deprecated:  Function split() is deprecated in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 163
[26-Nov-2010 14:02:22] PHP Deprecated:  Function split() is deprecated in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 163
[06-Dec-2010 11:08:16] PHP Fatal error:  Using $this when not in object context in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/ThemeWidgets.php on line 97
[06-Dec-2010 13:19:02] PHP Fatal error:  Class 'ThemeWidgetInterface' not found in /mnt/hgfs/webs/EclipseProjects/local-tests/current/site/htdocs/ThemeWidgets/index.php on line 16
